Uttam Nager - District Center,28.6213,28.6213,[]
District Center - Janakpuri East,42.1448,42.1448,[]
Janakpuri East - Tilak Nagar,28.6331,28.6331,"[{""lat""=>28.631267, ""lng""=>77.0820617}, {""lat""=>28.6221211, ""lng""=>77.0878475}, {""lat""=>28.6217975, ""lng""=>77.08886199999999}, {""lat""=>28.6136991, ""lng""=>77.0868265}, {""lat""=>28.6043238, ""lng""=>77.08281769999999}, {""lat""=>28.5929196, ""lng""=>77.0810602}, {""lat""=>28.5923865, ""lng""=>77.0819985}, {""lat""=>28.5820616, ""lng""=>77.0945585}, {""lat""=>28.5675011, ""lng""=>77.1285188}, {""lat""=>28.5704794, ""lng""=>77.13409899999999}, {""lat""=>28.5701611, ""lng""=>77.1349735}, {""lat""=>28.568825, ""lng""=>77.1344304}, {""lat""=>28.3810553, ""lng""=>76.96546409999999}, {""lat""=>28.1985672, ""lng""=>76.7436366}, {""lat""=>28.0220271, ""lng""=>76.4839006}, {""lat""=>27.8034791, ""lng""=>76.2427378}, {""lat""=>27.2338001, ""lng""=>75.94864989999999}, {""lat""=>27.2263943, ""lng""=>75.94373350000001}, {""lat""=>26.5900262, ""lng""=>74.907403}, {""lat""=>26.5845287, ""lng""=>74.9042422}, {""lat""=>26.3212826, ""lng""=>74.7456414}, {""lat""=>26.3188011, ""lng""=>74.7451857}, {""lat""=>24.8463487, ""lng""=>74.5808977}, {""lat""=>24.8345703, ""lng""=>74.5722449}, {""lat""=>24.6080477, ""lng""=>74.2992308}, {""lat""=>24.6180912, ""lng""=>74.0189836}, {""lat""=>24.6154609, ""lng""=>73.99998769999999}, {""lat""=>24.5966564, ""lng""=>73.78517149999999}, {""lat""=>24.5900287, ""lng""=>73.74756909999999}, {""lat""=>23.6245899, ""lng""=>73.2966855}, {""lat""=>23.5792896, ""lng""=>73.31260189999999}, {""lat""=>23.4747151, ""lng""=>73.2928924}, {""lat""=>23.0594516, ""lng""=>73.1828834}, {""lat""=>23.0211871, ""lng""=>73.1755356}, {""lat""=>22.9265921, ""lng""=>73.1195587}, {""lat""=>22.9094969, ""lng""=>73.12596789999999}, {""lat""=>22.906866, ""lng""=>73.1097389}, {""lat""=>22.6303357, ""lng""=>73.0301733}, {""lat""=>22.6071186, ""lng""=>72.99490449999999}, {""lat""=>22.5978519, ""lng""=>72.9892215}, {""lat""=>22.3659692, ""lng""=>73.1909656}, {""lat""=>22.3636, ""lng""=>73.193635}, {""lat""=>22.3627889, ""lng""=>73.1959511}, {""lat""=>19.2854742, ""lng""=>72.904568}, {""lat""=>19.2203395, ""lng""=>72.977854}, {""lat""=>19.2120928, ""lng""=>72.97732959999999}, {""lat""=>19.2115381, ""lng""=>72.9763708}, {""lat""=>19.1005607, ""lng""=>72.92896089999999}, {""lat""=>19.0591092, ""lng""=>72.8904574}, {""lat""=>19.0567028, ""lng""=>72.8875157}, {""lat""=>19.059915, ""lng""=>72.88507729999999}, {""lat""=>19.0655316, ""lng""=>72.8901451}, {""lat""=>19.0655834, ""lng""=>72.889939}]"
Tilak Nagar - Subhash Nagar,19.0658,19.0658,"[{""lat""=>19.0643789, ""lng""=>72.894537}, {""lat""=>19.0620479, ""lng""=>72.891714}, {""lat""=>19.0611317, ""lng""=>72.8930353}, {""lat""=>19.0708145, ""lng""=>72.9070809}, {""lat""=>19.1006033, ""lng""=>72.92883929999999}, {""lat""=>19.2114016, ""lng""=>72.97581699999999}, {""lat""=>19.2203319, ""lng""=>72.9777735}, {""lat""=>19.2852576, ""lng""=>72.9043804}, {""lat""=>19.2953146, ""lng""=>72.9056249}, {""lat""=>22.3634472, ""lng""=>73.19356979999999}, {""lat""=>22.3658461, ""lng""=>73.1909287}, {""lat""=>22.594712, ""lng""=>72.9843626}, {""lat""=>22.5948802, ""lng""=>72.9853162}, {""lat""=>22.6071186, ""lng""=>72.99490449999999}, {""lat""=>22.6301344, ""lng""=>73.02984219999999}, {""lat""=>22.6412677, ""lng""=>73.0274143}, {""lat""=>22.906866, ""lng""=>73.1097389}, {""lat""=>22.9094391, ""lng""=>73.1259233}, {""lat""=>22.9265921, ""lng""=>73.1195587}, {""lat""=>23.0211871, ""lng""=>73.1755356}, {""lat""=>23.0594516, ""lng""=>73.1828834}, {""lat""=>23.4747151, ""lng""=>73.2928924}, {""lat""=>23.5792896, ""lng""=>73.31260189999999}, {""lat""=>23.6246477, ""lng""=>73.2965823}, {""lat""=>24.5241517, ""lng""=>73.6763318}, {""lat""=>24.5759664, ""lng""=>73.7000426}, {""lat""=>24.5795342, ""lng""=>73.6970219}, {""lat""=>24.5804649, ""lng""=>73.71608510000002}, {""lat""=>24.5948854, ""lng""=>73.77553879999999}, {""lat""=>24.6140427, ""lng""=>74.1954346}, {""lat""=>24.6080652, ""lng""=>74.2990332}, {""lat""=>24.8356948, ""lng""=>74.57388639999999}, {""lat""=>26.3133771, ""lng""=>74.7479457}, {""lat""=>26.5845719, ""lng""=>74.90409919999999}, {""lat""=>26.888442, ""lng""=>75.73609359999999}, {""lat""=>27.228683, ""lng""=>75.9477977}, {""lat""=>27.229087, ""lng""=>75.9480411}, {""lat""=>28.2053255, ""lng""=>76.7834244}, {""lat""=>28.5653536, ""lng""=>77.1339232}, {""lat""=>28.5691117, ""lng""=>77.1243183}, {""lat""=>28.5702444, ""lng""=>77.1218554}, {""lat""=>28.570432, ""lng""=>77.12145129999999}, {""lat""=>28.5963455, ""lng""=>77.1316679}, {""lat""=>28.5989477, ""lng""=>77.1259304}, {""lat""=>28.5994122, ""lng""=>77.12472029999999}, {""lat""=>28.6046564, ""lng""=>77.12738639999999}, {""lat""=>28.6075561, ""lng""=>77.1210229}, {""lat""=>28.624581, ""lng""=>77.10153129999999}, {""lat""=>28.6250361, ""lng""=>77.1039161}, {""lat""=>28.6344028, ""lng""=>77.1033574}, {""lat""=>28.6373857, ""lng""=>77.1057551}, {""lat""=>28.6373836, ""lng""=>77.1055913}, {""lat""=>28.6405694, ""lng""=>77.1055377}, {""lat""=>28.6403606, ""lng""=>77.1050207}]"
Tagore Garden - Rajori Garden,28.6438,28.6438,"[{""lat""=>28.6465362, ""lng""=>77.116986}, {""lat""=>28.6463958, ""lng""=>77.1171248}, {""lat""=>28.6459743, ""lng""=>77.1165292}, {""lat""=>28.6464346, ""lng""=>77.1174837}, {""lat""=>28.6420868, ""lng""=>77.1210487}, {""lat""=>28.6419744, ""lng""=>77.1208066}, {""lat""=>28.6416478, ""lng""=>77.1210486}, {""lat""=>28.6415798, ""lng""=>77.12086219999999}]"
Rajori Garden - Ramesh Nagar,28.6415,28.6415,"[{""lat""=>28.6416478, ""lng""=>77.1210486}, {""lat""=>28.6419744, ""lng""=>77.1208066}, {""lat""=>28.6420868, ""lng""=>77.1210487}, {""lat""=>28.6464346, ""lng""=>77.1174837}, {""lat""=>28.648324, ""lng""=>77.1216259}, {""lat""=>28.6486071, ""lng""=>77.12141679999999}, {""lat""=>28.6531218, ""lng""=>77.1328443}, {""lat""=>28.6529651, ""lng""=>77.13288779999999}, {""lat""=>28.6526341, ""lng""=>77.13162229999999}]"
Kirti Nagar - Shadipur,28.6504,28.6504,"[{""lat""=>28.6569207, ""lng""=>77.14938000000001}, {""lat""=>28.6579067, ""lng""=>77.1478013}, {""lat""=>28.6587656, ""lng""=>77.1461775}, {""lat""=>28.6580665, ""lng""=>77.14788399999999}, {""lat""=>28.651309, ""lng""=>77.1589327}, {""lat""=>28.6515671, ""lng""=>77.1581764}]"
Shadipur - Patel Nagar,28.6516,28.6516,"[{""lat""=>28.6537958, ""lng""=>77.1545009}, {""lat""=>28.6536976, ""lng""=>77.154378}, {""lat""=>28.6539902, ""lng""=>77.15462060000002}, {""lat""=>28.6538795, ""lng""=>77.1545481}, {""lat""=>28.6482459, ""lng""=>77.1640807}, {""lat""=>28.6542762, ""lng""=>77.1687305}]"
Subhash Nagar - Tagore Garden,28.6404,28.6404,"[{""lat""=>28.6368032, ""lng""=>77.0967874}, {""lat""=>28.6438432, ""lng""=>77.11276980000001}]"
Ramesh Nagar - Moti Nagar,28.6527,28.6527,"[{""lat""=>28.6521247, ""lng""=>77.1296264}, {""lat""=>28.6522806, ""lng""=>77.12956299999999}, {""lat""=>28.659356, ""lng""=>77.14500559999999}, {""lat""=>28.6577654, ""lng""=>77.14252499999999}]"
